week_number,Abortive,Aged,Ague,Apoplexie,Bedridden,Blasted,Bleeding,Bloody flux,Broken legge,Bruised,Calenture,Cancer,Canker,Childbed,Chrisoms,Cold,Collick,Consumption,Convulsion,Cough,Distracted,Dropsie,Feaver,Fistula,Flox and Small-pox,Flux,French-pox,Frighted,Gangrene,Gowt,Grief,Griping in the Guts,Head-mould-shot,Headache,Imposthume,Infants,Jaundies,Kingsevill,Leprosie,Lethargy,Livergrown,Meagrome,Measles,Mother,Mouldfallen,Overlaid,Palsie,Plannet,Plurisie,Purples,Quinsie,Rickets,Rising of the Lights,Rupture,Sciatica,Scowring,Scurvy,Shingles,Small-Pox,Sore Brest,Sore legge,Sore mouth,Sore throat,Spleen,Spotted Feaver,Stilborn,Stone,Stopping of the stomach,Strangury,Suddenly,Surfeit,Swine-pox,Teeth,Thrush,Timpany,Tissick,Ulcer,Vomiting,VVen,Winde,Wormes
1,2,23,0,2,0,0,0,0,0,0,0,0,1,5,6,0,0,64,22,0,0,15,29,0,23,0,1,0,0,0,0,21,1,1,0,10,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,7,5,0,0,0,1,0,0,1,0,0,0,0,1,8,1,3,0,3,4,0,17,1,0,3,0,0,0,1,2
2,4,21,0,0,0,0,0,0,0,0,0,0,0,7,12,0,0,57,26,0,0,24,33,0,38,1,3,0,1,0,0,17,0,0,1,13,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,9,7,1,0,2,0,0,0,0,0,0,0,0,5,8,3,5,0,3,5,0,23,1,2,5,1,0,0,3,0
3,1,27,1,0,0,0,0,1,0,0,0,0,0,7,7,0,0,82,24,4,0,31,46,0,28,4,2,0,0,0,1,22,0,0,1,13,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,7,5,0,1,1,1,0,0,0,0,0,0,0,4,13,0,4,1,1,6,0,27,0,0,12,2,0,0,2,0
4,6,39,2,1,0,0,0,0,0,1,0,1,0,8,8,0,0,80,31,1,1,27,33,0,17,2,2,0,0,2,1,15,0,0,2,19,2,1,0,0,0,1,0,0,0,0,0,0,1,0,0,11,9,0,0,0,2,0,0,0,1,0,0,0,1,11,0,14,0,4,3,0,27,3,0,15,2,0,0,5,2
5,5,44,0,1,3,0,1,0,0,0,0,0,0,9,17,2,1,96,36,4,0,39,35,2,29,3,2,0,0,0,0,15,0,0,2,16,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,0,0,2,1,0,0,0,0,0,0,1,1,15,0,10,1,4,13,0,19,0,1,21,0,0,0,4,2
6,2,36,0,0,1,0,0,1,0,1,0,1,0,3,19,0,0,77,44,2,0,29,33,0,20,5,1,0,0,0,0,13,0,0,3,18,2,2,0,0,0,0,0,0,0,2,0,0,0,0,1,8,8,0,0,1,2,0,0,0,0,0,0,0,0,9,1,3,0,6,9,0,16,2,0,18,1,1,0,3,1
7,3,31,0,0,0,0,0,0,0,0,0,0,1,3,12,0,0,67,35,5,0,32,39,0,18,2,3,0,1,1,0,17,0,0,6,9,3,1,0,0,0,0,0,0,0,2,1,0,0,0,0,12,13,0,0,0,1,0,0,0,1,0,0,0,3,8,0,11,0,0,7,0,24,1,3,9,0,0,0,2,3
8,2,38,0,1,0,0,0,0,0,0,0,1,1,6,15,0,0,89,43,1,0,44,35,0,30,2,3,0,0,3,1,14,0,0,1,15,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,6,6,1,0,3,0,0,0,0,0,0,0,0,4,11,1,15,0,1,6,0,22,3,2,16,3,0,0,3,4
9,2,32,0,0,0,0,1,0,0,0,0,0,0,5,9,0,2,65,41,5,0,43,47,0,15,3,0,0,0,0,0,15,0,0,1,7,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,9,2,2,0,0,4,0,0,0,0,0,0,0,2,13,0,11,0,1,7,0,27,0,0,12,1,1,0,1,1
10,2,38,0,1,1,0,0,0,0,0,0,0,0,2,12,0,0,95,28,1,0,36,29,0,15,2,2,0,0,1,0,11,1,0,0,14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,16,4,0,0,0,2,0,0,0,0,0,0,0,3,10,1,8,0,0,9,0,20,4,0,15,0,0,0,3,2
